"Data Export Generated on Wed Mar 26 05:02:26 PDT 2025"
"Survey ID 12838980"
"Dashboard Name My Dashboard"
"Response ID","Response Status","IP Address","Timestamp (mm/dd/yyyy)","Duplicate","Time Taken to Complete (Seconds)","Seq. Number","External Reference","Custom Variable 1","Custom Variable 2","Custom Variable 3","Custom Variable 4","Custom Variable 5","Respondent Email","Email List","Country Code","Region","1. What is your gender?","2. What is your age?","3. Have you use Foodpanda before?","4. How often do you order from Foodpanda monthly? ","5. How much would you spend per meal order? (include delivery fee)","6.  How much do you spend on groceries (eg. Household supplies) per month using FoodPanda?","7. Which do you prefer ordering more frequently?","8. How would you rate the quality of the food delivered?","Delivery time ","Customer service","Variety of options","User interface of the app","10. How often do you take advantage of promotions or discounts offered by Foodpanda? ","11. Have you ever experienced issues with order accuracy? (eg. Wrong order) If so please describe:","12. Have you ever needed to contact customer support? If yes how was your experience? (please give 5-15 words)","13. Are there any payment options you would like to see added?","","","","","14. Which disadvantage do you think Foodpanda has when comparing to Keeta (competitor) ? (At most 3 options)","","","","","","15. What improvements would you like to see in Foodpanda? (At most 3 options)","","","","","","16. How likely are you to recommend Foodpanda to friends or family?","17. Would you consider switching to a competitor (e.g. Keeta Uber Eats) if they offered better discounts?(open-end question)",""
"164475113","Completed","158.182.255.80","03/26/2025 10:42:58","0","282","1","","","","","","","","","","","1","20","1","2","1","1","1","4","5","3","4","2","2","No","No. ","","","1","","","","","1","","1","","","","1","","1","","3","Yes",""
"164475132","Completed","158.182.255.82","03/26/2025 10:43:09","0","280","1","","","","","","","","","","","1","19","2","5","1","1","3","1","1","2","2","2","5","No","No","1","1","1","1","1","","","","","","1","","","","","","Make it free","5","If one of them is free",""
"164475484","Completed","158.182.254.33","03/26/2025 10:49:22","0","75","1","","","","","","","","","","","1","19","1","3","3","2","1","4","3","4","4","4","4","no","no","","1","1","1","","","1","1","","1","","","1","1","1","","","1","",""
"164475640","Completed","158.182.255.74","03/26/2025 10:51:30","0","228","1","","","","","","","","","","","2","20","1","4","2","2","1","4","5","3","3","3","2","Send to a wrong place","No","1","","","","","1","","","","1","","1","","","","","","3","Yes, because they have more discount",""
"164477600","Completed","182.239.85.193","03/26/2025 11:28:16","0","7083","1","","","","","","","","","","","2","19","1","4","2","1","3","4","4","4","4","4","3","No","Haven’t experienced before","","","1","1","","1","","1","","","","","1","","1","1","","3","Yes",""
"164478406","Completed","158.182.255.234","03/26/2025 11:47:47","0","168","1","","","","","","","","","","","2","20","2","5","1","1","1","3","3","4","5","3","1","N/A","N/A","1","","","","","1","","","","","","","","","","","more discount ","3","Yes",""
"164497340","Completed","158.182.254.33","03/26/2025 13:57:56","0","70","1","","","","","","","","","","","2","19","1","3","2","2","2","5","4","4","4","3","3","no","no","","","1","1","1","","","1","","1","","","1","","1","","","2","",""
"164498175","Completed","158.182.254.33","03/26/2025 14:00:37","0","67","1","","","","","","","","","","","2","19","1","3","3","2","2","5","4","4","3","4","3","no","no","","","1","1","","","","1","","1","","","1","1","1","","","2","",""
"164507849","Completed","203.145.95.113","03/26/2025 14:27:23","0","186","1","","","","","","","","","","","1","20","2","5","1","1","1","3","5","5","5","5","5","No","No","1","","1","1","","1","1","1","","","","","","1","1","1","","3","",""
"164511551","Completed","2a09:bac2:3919:263c::3cf:4c","03/26/2025 14:35:02","0","227","1","","","","","","","","","","","2","21","1","4","2","1","1","4","4","5","1","1","1","no","cannot use the promotion codes, then cs ask me to order without coupons","","","1","","","1","","1","1","","","1","","","","1","","5","yes",""
"164515594","Completed","14.0.173.224","03/26/2025 14:46:37","0","95","1","","","","","","","","","","","2","21","1","2","2","1","2","4","4","3","4","3","2","Ys, the deliver delayed 6h","No","","1","","","","","","","1","","","","","","1","","","4","Ys keeta will be chosen ",""
"164521605","Completed","45.64.241.201","03/26/2025 15:04:41","0","230","1","","","","","","","","","","","1","21","1","2","1","1","3","3","5","5","3","3","4","No","No","1","","","1","","1","1","1","","","","","","1","1","1","","3","Yes. Can save the money ",""
"164529118","Completed","1.65.166.140","03/26/2025 15:28:31","0","175","1","","","","","","","","","","","1","24","1","4","1","1","1","4","4","4","4","3","3","no","no","1","","1","1","","","","","1","1","1","1","1","","","1","","2","no",""
"164535670","Completed","158.182.254.190","03/26/2025 15:49:53","0","80","1","","","","","","","","","","","1","37","1","5","1","2","2","3","5","5","4","3","3","No","No","","","","1","","","","","1","","1","","","1","","1","","3","No",""
"164540052","Completed","183.178.0.130","03/26/2025 16:04:35","0","500","1","","","","","","","","","","","2","20","1","2","2","1","1","4","5","3","4","4","2","No","No","1","","","","","1","","","","","","1","1","1","","","","3","Ys",""
"164544728","Completed","124.244.165.85","03/26/2025 16:19:46","0","282","1","","","","","","","","","","","1","19","1","4","2","1","1","5","5","4","3","3","2","No","No","1","","","","","1","","","","","","","","","1","","","3","Yes",""
"164556265","Completed","14.0.180.228","03/26/2025 16:58:43","0","121","1","","","","","","","","","","","1","20","1","4","2","1","1","3","3","3","3","3","3","Wrong food","No","1","","","","","1","","","","","","1","","","","1","","3","Yes",""
"164577028","Completed","2a09:bac2:3919:323::50:11a","03/26/2025 18:09:53","0","95","1","","","","","","","","","","","1","26","1","4","2","2","3","3","2","3","4","4","3","missing item","no need to communicate with the customer","1","","1","","","","","","1","","","","","","1","","","3","",""
"164584092","Completed","14.198.160.207","03/26/2025 18:34:19","0","0","1","","","","","","","","","","","2","20","1","2","2","2","2","5","5","5","5","4","4","no","no","1","","1","1","","","","1","","1","1","1","1","","1","","","2","",""
"164584444","Completed","14.198.160.207","03/26/2025 18:35:36","0","74","1","","","","","","","","","","","1","19","1","3","3","4","2","4","4","4","4","4","3","no","no","1","","","1","1","","","1","","1","","","","","1","","","3","",""
"164584870","Completed","14.198.160.207","03/26/2025 18:37:10","0","93","1","","","","","","","","","","","2","19","1","1","2","4","2","4","4","5","4","5","4","no","no","1","","","1","","","","1","1","1","","1","","","1","","","1","",""
"164585259","Completed","14.198.160.207","03/26/2025 18:38:38","0","75","1","","","","","","","","","","","1","20","1","3","3","2","1","3","4","4","5","5","3","wrong order","no","","1","","1","1","","","1","","1","","","","1","1","1","","2","",""
"164585610","Completed","14.198.160.207","03/26/2025 18:39:57","0","77","1","","","","","","","","","","","2","20","1","2","3","3","2","5","4","5","3","5","4","no","no","1","","","1","1","","","1","1","1","","1","1","","1","","","1","",""
"164586933","Completed","14.198.160.207","03/26/2025 18:44:50","0","93","1","","","","","","","","","","","1","19","1","3","3","1","1","4","3","5","5","5","3","no ","no","1","","1","1","","","","1","","1","","","","","1","","","1","",""
"164598950","Completed","14.198.160.207","03/26/2025 19:30:39","0","2272","1","","","","","","","","","","","1","20","1","3","2","3","2","4","4","5","5","5","4","no","no","","","","1","1","1","","","","1","","","","","1","1","","1","",""
"164599075","Completed","14.198.160.207","03/26/2025 19:33:24","0","81","1","","","","","","","","","","","2","20","1","2","2","3","2","5","4","5","3","5","2","no","no need","1","","1","1","","","","1","","1","","","","1","1","","","1","",""
"164599822","Completed","14.198.160.207","03/26/2025 19:49:13","0","84","1","","","","","","","","","","","1","20","1","2","4","4","3","5","3","2","4","5","4","no","no","","","1","1","1","","","1","","1","","","","","1","","","1","",""
"164599890","Completed","14.198.160.207","03/26/2025 19:50:30","0","75","1","","","","","","","","","","","2","20","1","2","4","4","2","5","5","5","4","3","2","wrong order","no need","","1","","1","1","1","","1","","1","","1","1","","1","","","2","",""
"164599974","Completed","14.198.160.207","03/26/2025 19:51:55","0","74","1","","","","","","","","","","","1","20","1","2","2","1","3","3","3","3","4","4","3","no","no ","","","1","1","1","","1","","1","1","","1","","1","","1","","3","",""
"164600569","Completed","182.239.89.178","03/26/2025 19:56:58","0","565","1","","","","","","","","","","","1","20","2","5","1","1","3","3","1","1","1","1","5","no","no","","","1","","","1","","","","","","","","","","","nuh man, improve this form pls, i have never used foodpanda or other food oder app before. Very confusing when answering the questions💀?","5","no","
"164600789","Completed","14.198.160.207","03/26/2025 19:58:32","0","58","1","","","","","","","","","","","1","20","1","3","4","3","1","4","3","4","4","5","3","no","no need","","","","1","1","","","1","","1","1","","","","1","","","2","",""
"164601013","Completed","14.198.160.207","03/26/2025 20:00:12","0","98","1","","","","","","","","","","","1","20","1","2","3","1","2","3","3","4","4","3","1","no","no","","","1","1","1","1","","1","","1","","","","","1","","","1","",""
